text,label
padahal uda disindir banyak disosmed kyk gini kok masi aja banyak oknum yg minta pengawalan,0
pejabat kalo mau ga kena macet harusnya berangkat kerjanya subuh,0
"wat wut wat wut, giliran ambulan kritis cmn di liatin, pejabat ajah di buru buruin kek kerja bener ajah 🤣",0
Buru buru amat kaya kerjanya bener aja,0
"Yang parah lg motor harley klo udah konvoi itu berisik knalpot, berisik sirine, ngebut, trus dikawal polisi 😏",0
"masalahnya nih negara kaga ngasih tau siapa tuh yang didalem mobil...
semisal tamunya parlemen dari negara lain dan KITA DIKASIH TAU ya kita minggir.
jangan salahkan rakyat karena kinerja pejabatnya ajah engga kelihatan",0
selain RI 1 DAN RI 2 AMBULANCE. DAMKAR .gak perlu ngalah,0
"Selain presiden,ambulans,damkar gak usah dibukain jalan",0
pejabat buru2 amat sih mau kemana? ky kerja aja,1
jangan di kasih lewat,0
se urgent apaa sih kek kerja aja wkwk kerja aja kaga ada mau buru buru,1
"kalau ada wut wut di belakang mobil selain damkar,ambulan,presiden gua ogah buru buru minggir,",0
lagian apa untungnya buat rakyat tot tot wuk wuk😄,0
Lah rakyat sama sama bayar pajak no prioritas prioritas rakyat macet ikutan macet lah,1
"di jalan buru buru, nyampe kantor malah turu.",1
"sekali lagi inget, mereka tuh bukan pejabat tapi karyawan kita, kita protes bukan karna ngga tau tapi mau memberikan layanan fasilitas selayaknya karyawan bukan raja",1
aparat polisinya jd gak kerja utk rakyat karena sibuk ngawal tiap hari + ngawal keluarga aparatnya,1
"jgn kasih lewat ,kecuali damkar ama mobil ambulands 🫵🫵🫵🫵🫵",0
buru buru amat KAYAK KERJA AJA 😂,0
perlunya reshuffle polisi🗿,0
jangan sampai hal2 kecil seperti ini menyebabkan demo lagi,0
yg harusnya dapat pengawalan itu ambulance ya gak sih? jemput mau pun antar pasien yg darurat juga harus dapat prioritas. presiden kita aja kalo ada ambulance juga nyuruh minggir pawalnya😎,0
"paling malas KLO tet tot tet tot bukan ambulance/damkar yg lewat
mereka senaknya lewat tanpa harus sabar dijalanan...",0
buru buru amat di jalan kek bener aja kerja nya,0
"tet tot tet tot... kalo ga mau telat, kalo ga mau kena macet, berangkat lebih pagi!! semua rakyat jg gt..",0
ada yg tau gunanya polisi untuk apa ❓serius nanya,0
"sangat setuju banget, semua fasilitas milik bersama negara hanya menjalankan tugas dan rakyat yg menjadi investor nya",2
buru buru amat mau kemana emang kaya yang kerja aja🤭,0
"kek sibuk banget ya mereka, kerja aja ga ada hasilnya buat masyarakat 😂😂😂🗿🗿",0
Sejak kapan karyawan seenaknya sama majikan😏,0
Saya tipe orang yg gak mau minggir bila ada tot tot tot… selain ambulans sama presiden nggak suddiiihh… minggir,0
biar dpt pengawalan kaya gitu harus bayar berapa?,1
ini kan mmg dibenarkan menurut aturan. sipil juga bisa pake kok. ada bayarnya,2
Gerakan stop wuk wuk dan strobo viral,0
klo memang gk ada aturan buat memproritaskan kenapa pada ngasih jalan?,0
wkwkwk bos besar u******r dari luar aja pake begini kalo datang😁,1
setuju stop tot tot suruh antri,0
Kalau pengen cepet berangkat subuh boss,1
"Polusi ngawal yg berduit
liat nih ambulance yg lebih urgensi dia mandiri",1
makanya dibenahin jalanan biar gak macet bukannya pake strobo gt 😅,0
"STOP strobo totot totot wuk wuk kalau lgi macet antri juga dong bosss, kecuali; 1. damkar, 2. ambulance, 3. presiden, 4. tamu negara, itu baru prioritas.",0
apa lagi di puncak noh kalau musim macet banyak bet ..tok tok wok wi wok the tok not onli,0
"bagi gue yang berhak pakai lampu Strobo dan bunyi2 ;
-presiden
-ambulan
-damkar
-kurir yang anter paket gue",0
viralkan terus tot tot wuk wuk... 🤭🤭🤭,0
"Selain RI , ambulance, damkar, ga perlu buka jalan.",0
"OK, kereta api juga jangan dikasih jalan wkwkwkwkkwkw",1
@𝗞𝗔𝗟𝗔𝟱𝟲 🌈🤍💜Top winner bosku💜🤍🌈💯,1
"Alhamdulillah selain presiden damkar dan ambulance
tidak pernah sayah kasih jalan.
ngurusin kerjaan orang
kerjaan saya ajah belum berea😏",0
"SELAIN AMBULANCE DAN DAMKAR
DILARANG KERAS TOT TOT WUK WUK WUK
DIJALAN RAYA🔇",0
"Bukannya itu berbayar ya… ngapain dipermasalahin, lu udah bayar lebih masa dpt perlakuan sama kek yg ngak bayar…",2
"Bayar itu urusan mereka, bukan urusan pengguna jalan lain, kecuali juga bayar ke pengendara lain buat ngasih jalan 🤣",0
"Daan lucunya lagii.. Disini pernah jalanan sepii tapii d bunyiin tuh sirine, kan lucuu.. 😂",0
buru-buru mau korupsi soalnya,1
Nyampe sono juga tidur ye kaan,1
trs mkn iye kan,1
fakta amat bng🗿,1
eiittss🤭,1
"kayak penting aja,orang kerjanya berangkat duduk pulang",1
suka bner kalo komen,1
"ya bener...cuma mo tdr doang buru""😂",1
nah itu ngapain dikawal juga lagipula negara ini milik bersama bukan pribadi,1
Priiiitttt! Offside!🤣,1
Ho oh,1
sessss bro sedang memasak🥶,1
demo aja DPR yg bikin aturan DPR kok,1
"iya bener ,kalo takut kesiangan pun harusnya bangun subuh bukan leha² ya kan",1
betuuuul,0
takut angaran buat di korupsi Abis,1
itu dia buru2 mau ambil uang H4124M 🤭,1
emang kerja ?,1
mau mabar om,1
tangkap,0
yoi👍👍👍👍,1
"ini sering nih,soalny rumahku dekt jalan besar jalur wisata Borobudur,sering bgt Moge ni pake tot tot wut wut padahal jalan disini gak yg macet, berisik bgt padahal cuma 5biji😌",0
"Kita Senasib, jg korban moge rusuh, klo kalian yg tinggal di jl provinsi & tempat wisata pasti esmosi... 😭",0
"esmosi bgt,jalur wisata kalau weekend disini bus pariwisata tu banyak, pake tet tot tet tot gak sabaran bgt heran",0
iya klo ga diksh jalan di geber2 tanpa liat situasi saya lg bawa anak tidur,0
"bikin lukisan polisi tidur 3D, ada di yutup caranya. efektif itu",0
"Kok ya polisinya jug mau mau an ngawal ya, emang boleh ya",0
"nah itu, dugaan kuat sesajen nya mahal 😳",0
"Serius nanya ini, tapi emang boleh ya patwal buat sipil gtu? SOP boleh buat ngwal sipil?",0
ya gak boleh si pak seharusnya,0
"kecuali darurat,, memang darurot loh ya...",0
"lah bukanya dari dulu boleh, kek touring moge2 gitu kan di kawal sama patwal, sipil kan juga boleh punya moge asalkan punya duit semua bisa di beli meskipun itu patwal🤣",1
yang penting sesajennya mahal apapun bisa,0
"Saya kan bertanya, dan secara sop nya apa ada jobdesk mereka ngawal rakyat jelata begitu ini saya nanya karna saya ga tau, karena ga pernah ada di lingkup mereka",0
lha di tapok uang kok....ya jelas mau lah,0
"klok katanya sih seluruh masyarakat boleh minta pengawalan dari patwal, katanya loh yaaa🤣🤣🤣 tapi kenyataannya ambulance lewat bukannya dibantu bukain jalan malah ditilang🤣🤣🤣🤣",0
"Kayaknya liat liat juga yg mau dikawal kalo tidak berpotensi ngapain 😂, ini kita komen komen begini pasti terbaca lah ya ke mereka dan keluarga nya 🤣, adakah nurani nya bergetar, atau malah melihat kita seperti sampahhh ga penting",0
"klok nuraninya bergetar udah lama banyak perubahan, boro2 mau nuraninya bergetar matanya bisa melek ngeliat aja mending🥱🥱🥱 giliran kita komentar soal mereka salah juga🗿🗿🗿",0
& mrk yg berisik djalan itu g sadar klu banyak yg nyumpahin saking jengkelnya,0
"gak gue kasih jalan sih , udah pernah .. gue lagi buru2 disuruh minggir sama yg mau touring hedehhhhh",0
